TAGALOG0,BISAYA0,CEBUANO0,ILOCANO0
TAGALOG68,BISAYA68,CEBUANO68,ILOCANO68
TAGALOG69,BISAYA69,CEBUANO69,ILOCANO69
TAGALOG70,BISAYA70,CEBUANO70,ILOCANO70
TAGALOG71,BISAYA71,CEBUANO71,ILOCANO71
TAGALOG72,BISAYA72,CEBUANO72,ILOCANO72
TAGALOG73,BISAYA73,CEBUANO73,ILOCANO73
TAGALOG74,BISAYA74,CEBUANO74,ILOCANO74
TAGALOG75,BISAYA75,CEBUANO75,ILOCANO75
TAGALOG76,BISAYA76,CEBUANO76,ILOCANO76
TAGALOG77,BISAYA77,CEBUANO77,ILOCANO77
TAGALOG78,BISAYA78,CEBUANO78,ILOCANO78
TAGALOG79,BISAYA79,CEBUANO79,ILOCANO79
TAGALOG80,BISAYA80,CEBUANO80,ILOCANO80
TAGALOG81,BISAYA81,CEBUANO81,ILOCANO81
TAGALOG82,BISAYA82,CEBUANO82,ILOCANO82
TAGALOG83,BISAYA83,CEBUANO83,ILOCANO83
TAGALOG84,BISAYA84,CEBUANO84,ILOCANO84
TAGALOG85,BISAYA85,CEBUANO85,ILOCANO85
TAGALOG86,BISAYA86,CEBUANO86,ILOCANO86
TAGALOG87,BISAYA87,CEBUANO87,ILOCANO87
TAGALOG88,BISAYA88,CEBUANO88,ILOCANO88
TAGALOG89,BISAYA89,CEBUANO89,ILOCANO89
TAGALOG90,BISAYA90,CEBUANO90,ILOCANO90
TAGALOG91,BISAYA91,CEBUANO91,ILOCANO91
TAGALOG92,BISAYA92,CEBUANO92,ILOCANO92
TAGALOG93,BISAYA93,CEBUANO93,ILOCANO93
TAGALOG94,BISAYA94,CEBUANO94,ILOCANO94
TAGALOG95,BISAYA95,CEBUANO95,ILOCANO95
TAGALOG96,BISAYA96,CEBUANO96,ILOCANO96
TAGALOG97,BISAYA97,CEBUANO97,ILOCANO97
TAGALOG98,BISAYA98,CEBUANO98,ILOCANO98
TAGALOG99,BISAYA99,CEBUANO99,ILOCANO99
